,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
142,104,pickup_p1,2017-05-01 00:38:45.000000000,1493599125.0,1085.0,1085.0,17592367996844,,110.3443467,19.9804333,110.3443467,19.9804333
143,31,delivery_p1,2017-05-01 00:59:38.645175808,1493600378.6451757,1085.0,1085.0,17592368095574,17592368053239.0,110.3443467,19.9804333,110.3443467,19.9804333
144,55,delivery_p1,2017-05-01 00:58:51.378064128,1493600331.3780642,1085.0,1085.0,17592367996527,17592368092667.0,110.3443467,19.9804333,110.3443467,19.9804333
145,51,pickup_p1,2017-05-01 00:45:15.000000000,1493599515.0,1085.0,1085.0,17592368031258,,110.3443467,19.9804333,110.3443467,19.9804333
146,51,pickup_p2,2017-05-01 00:45:25.000000000,1493599525.0,1085.0,1085.0,17592368031258,17592368031258.0,110.3443467,19.9804333,110.3443467,19.9804333
147,5,delivery_p1,2017-05-01 01:23:55.096103936,1493601835.096104,1085.0,1085.0,17592368272995,17592368272995.0,110.3443467,19.9804333,110.3443467,19.9804333
148,129,delivery_p2,2017-05-01 00:33:25.670324224,1493598805.6703243,1070.0,1085.0,17592367883890,17592367776817.0,110.3565181,19.9942564,110.3443467,19.9804333
149,8,pickup_p1,2017-05-01 00:31:45.000000000,1493598705.0,2221.0,1085.0,17592367948960,,110.3375896,19.9934762,110.3443467,19.9804333
150,45,delivery_p2,2017-05-01 00:14:55.434248192,1493597695.4342482,3290.0,1085.0,17592367475081,17592367605959.0,110.3622935,19.9877523,110.3443467,19.9804333
151,49,delivery_p2,2017-05-01 00:52:15.948471040,1493599935.948471,2143.0,1085.0,17592368160282,17592368112916.0,110.3322275,20.0104305,110.3443467,19.9804333
152,86,delivery_p1,2017-05-01 01:06:06.311901184,1493600766.311901,1182.0,1085.0,17592368043437,17592368287795.0,110.3427796,20.0525396,110.3443467,19.9804333
153,55,delivery_p2,2017-05-01 00:47:33.683867648,1493599653.6838677,3295.0,1085.0,17592367996527,17592368092667.0,110.3207849,20.0059378,110.3443467,19.9804333
154,4,delivery_p1,2017-05-01 00:29:54.574391552,1493598594.5743916,2665.0,1085.0,17592367784812,17592367853816.0,110.3407115,20.0002329,110.3443467,19.9804333
155,130,delivery_p1,2017-05-01 00:33:45.044815616,1493598825.0448155,532.0,1085.0,17592367852303,17592367674373.0,110.35944,20.0221353,110.3443467,19.9804333
156,123,delivery_p2,2017-05-01 00:28:03.490159616,1493598483.4901595,1093.0,1085.0,17592367595829,17592367771470.0,110.2997898,19.9782087,110.3443467,19.9804333
157,104,delivery_p2,2017-05-01 00:16:40.000000000,1493597800.0,1559.0,1085.0,17592367610177,17592367610177.0,110.3335193,20.0565169,110.3443467,19.9804333
158,43,"failed_ridepooling,delivery_p1",2017-05-01 00:45:30.000000000,1493599530.0,810.0,1085.0,17592367838448,,110.3169188,20.0183294,110.3443467,19.9804333
159,54,pickup_p2,2017-05-01 00:28:15.000000000,1493598495.0,990.0,1085.0,17592367717357,17592367888320.0,110.3461227,19.9802181,110.3443467,19.9804333
160,82,delivery_p2,2017-05-01 00:29:05.770306816,1493598545.7703068,3657.0,1085.0,17592367790339,17592367946204.0,110.3750836,20.0087575,110.3443467,19.9804333
161,31,delivery_p2,2017-05-01 00:45:32.937400320,1493599532.9374003,3657.0,1085.0,17592368095574,17592368053239.0,110.3750836,20.0087575,110.3443467,19.9804333
162,129,pickup_p2,2017-05-01 00:46:25.000000000,1493599585.0,2245.0,1085.0,17592367917274,17592368030885.0,110.3269156,19.9853225,110.3443467,19.9804333
163,33,delivery_p1,2017-05-01 00:41:37.517317632,1493599297.5173175,480.0,1085.0,17592367961219,17592367810133.0,110.3430179,20.0330107,110.3443467,19.9804333
164,19,"failed_ridepooling,delivery_p1",2017-05-01 00:50:20.000000000,1493599820.0,606.0,1085.0,17592367923294,,110.3786838,20.0259785,110.3443467,19.9804333
165,51,"failed_ridepooling,delivery_p1",2017-05-01 00:38:50.000000000,1493599130.0,1066.0,1085.0,17592367879384,,110.3524365,19.9897543,110.3443467,19.9804333
166,53,delivery_p2,2017-05-01 00:37:20.000000000,1493599040.0,116.0,1085.0,17592367928244,17592367928244.0,110.3316762,20.0261705,110.3443467,19.9804333
167,78,delivery_p2,2017-05-01 00:40:44.097337600,1493599244.0973375,434.0,1085.0,17592367830619,17592367923633.0,110.3328513,20.068576,110.3443467,19.9804333
168,119,delivery_p1,2017-05-01 00:53:13.354771200,1493599993.3547711,1332.0,1085.0,17592367914593,17592367892617.0,110.3368701,20.0273142,110.3443467,19.9804333
169,80,delivery_p2,2017-05-01 00:44:02.786398464,1493599442.7863984,1339.0,1085.0,17592367794628,17592368104163.0,110.3414732,20.004383,110.3443467,19.9804333
170,5,delivery_p2,2017-05-01 00:52:10.000000000,1493599930.0,2386.0,1085.0,17592368272995,17592368272995.0,110.2350465,20.0368094,110.3443467,19.9804333
171,91,"failed_ridepooling,delivery_p1",2017-05-01 00:54:40.000000000,1493600080.0,2338.0,1085.0,17592367325075,,110.474944,19.9778502,110.3443467,19.9804333
172,30,pickup_p1,2017-05-01 00:03:05.000000000,1493596985.0,185.0,194.0,17592367569051,,110.3411185,20.0349696,110.3432178,20.0358849
173,70,pickup_p2,2017-05-01 00:14:15.000000000,1493597655.0,1286.0,194.0,17592367537052,17592367721287.0,110.3324704,20.0407216,110.3432178,20.0358849
174,14,pickup_p1,2017-05-01 00:24:55.000000000,1493598295.0,3269.0,194.0,17592367785991,,110.3418024,20.0320787,110.3432178,20.0358849
175,49,delivery_p1,2017-05-01 00:36:50.847020800,1493599010.8470209,2241.0,194.0,17592367767705,17592367817354.0,110.3159938,19.9967418,110.3432178,20.0358849
176,17,delivery_p2,2017-05-01 00:29:27.988448512,1493598567.9884486,185.0,591.0,17592367720243,17592367607217.0,110.3411185,20.0349696,110.3596894,20.049529
177,25,"failed_ridepooling,delivery_p1",2017-05-01 00:43:20.000000000,1493599400.0,185.0,776.0,17592367973408,,110.3411185,20.0349696,110.315605,20.0349936
178,54,delivery_p1,2017-05-01 00:31:12.069891584,1493598672.0698917,1085.0,776.0,17592367717357,17592367888320.0,110.3443467,19.9804333,110.315605,20.0349936
179,43,delivery_p2,2017-05-01 00:12:41.354616320,1493597561.3546164,2215.0,776.0,17592367680990,17592367750160.0,110.3337647,20.0211916,110.315605,20.0349936
180,83,delivery_p2,2017-05-01 00:24:02.184189440,1493598242.1841896,3282.0,776.0,17592367488793,17592367616468.0,110.3172049,20.0220068,110.315605,20.0349936
181,25,delivery_p1,2017-05-01 00:57:19.072358656,1493600239.0723586,185.0,3404.0,17592368169023,17592368244891.0,110.3411185,20.0349696,110.3042334,20.0184176
182,88,delivery_p2,2017-05-01 00:19:06.317825536,1493597946.3178256,1048.0,3404.0,17592367689123,17592367722812.0,110.357566,20.0041143,110.3042334,20.0184176
183,88,delivery_p1,2017-05-01 00:32:24.146817280,1493598744.1468172,3404.0,3404.0,17592367689123,17592367722812.0,110.3042334,20.0184176,110.3042334,20.0184176
184,121,delivery_p1,2017-05-01 00:54:36.929396992,1493600076.9293969,1373.0,3404.0,17592368014350,17592368259872.0,110.3615289,20.0364717,110.3042334,20.0184176
185,89,delivery_p1,2017-05-01 00:38:37.345626368,1493599117.3456264,3384.0,3404.0,17592367745149,17592367804398.0,110.3470893,20.0160186,110.3042334,20.0184176
186,117,delivery_p1,2017-05-01 01:00:07.720470016,1493600407.72047,1783.0,3404.0,17592368144901,17592368065321.0,110.3250663,20.0287294,110.3042334,20.0184176
